employee_Id,employee_name,state,birth_date,gender,department,position,boss_name
1102024149,"Spirea, Kelley","California, Estados Unidos",28/09/1980,Female,Admin Offices,Administrative II,Elijiah Gray
1001109612,"Darson, Jene'ya","California, Estados Unidos",10/05/1983,Female,Admin Offices,Administrative II,Elijiah Gray
1000974650,"Stanley, David","Texas, Estados Unidos",16/12/1975,Male,Admin Offices,Manager,Debra Houlihan
1206043417,"Quinn, Sean","Massachusetts, Estados Unidos",10/06/1969,Male,Admin Offices,Manager,Janet King
1307060188,"Boutwell, Bonalyn","California, Estados Unidos",02/04/1972,Female,Admin Offices,Manager,Elijiah Gray
1011022932,"Hendrickson, Trina","California, Estados Unidos",26/08/1977,Female,Admin Offices,Administrative II,Elijiah Gray
1101023619,"Wallace, Theresa","California, Estados Unidos",06/02/1985,Female,Admin Offices,Administrative II,Elijiah Gray
1107027575,"LeBel, Jonathan R.","California, Estados Unidos",17/10/1986,Male,Admin Offices,Administrative II,Elijiah Gray
1102024115,"LeBlanc, Brandon","Massachusetts, Estados Unidos",05/10/1969,Male,Admin Offices,Manager,Janet King
1105026041,"Gaul, Barbara","California, Estados Unidos",11/02/1968,Female,Admin Offices,Administrative II,Elijiah Gray
1102024121,"Motlagh, Dawn","California, Estados Unidos",06/07/1989,Female,Admin Offices,Administrative II,Elijiah Gray
1302053333,"Steans, Tyrone","California, Estados Unidos",08/01/1971,Male,Admin Offices,Administrative II,Elijiah Gray
1302053362,"Sander, Kamrin","California, Estados Unidos",06/10/1993,Female,Admin Offices,Administrative I,Elijiah Gray
1405067565,"Linden, Mathew","California, Estados Unidos",17/03/1984,Male,Admin Offices,Administrative I,Elijiah Gray
1106026579,"Gordon, David","Texas, Estados Unidos",19/05/1984,Male,Admin Offices,Administrative II,David Stanley
1107027450,"Jung, Judy","California, Estados Unidos",16/04/1991,Female,Admin Offices,Administrative I,Elijiah Gray
1408069481,"Dietrich, Jenna","California, Estados Unidos",12/05/1992,Female,Admin Offices,Administrative I,Elijiah Gray
1011022818,"Walker, Roger","California, Estados Unidos",01/10/1981,Male,Admin Offices,Administrative I,Elijiah Gray
1201031308,"Foster-Baker, Amy","Texas, Estados Unidos",15/04/1974,Female,Admin Offices,Manager,David Stanley
1001944783,"Hogland, Jonathan","Massachusetts, Estados Unidos",05/01/1977,Male,Admin Offices,Administrative II,Brandon R. LeBlanc
1405067298,"Sullivan, Kissy","Massachusetts, Estados Unidos",27/03/1983,Female,Admin Offices,Administrative II,Brandon R. LeBlanc
1103024456,"Brown, Mia","Massachusetts, Estados Unidos",23/11/1990,Female,Admin Offices,Administrative II,Brandon R. LeBlanc
1307059817,"Singh, Nan","Massachusetts, Estados Unidos",18/05/1993,Female,Admin Offices,Administrative I,Brandon R. LeBlanc
